customer_id,gender,senior_citizen,tenure_months,contract_type,monthly_charges,total_charges,payment_method,avg_monthly_usage,usage_trend,support_tickets_last_3m,churn,high_value_customer,tenure_bucket_Mid,tenure_bucket_Long,support_intensity_Medium,support_intensity_High
CUST_1,1,0,58,0,40.63,2356.54,0,335.3,2,1,0,0,False,True,False,False
CUST_2,0,0,19,0,88.05,1672.95,0,271.9,2,2,0,0,True,False,True,False
CUST_3,1,1,12,0,44.73,536.76,1,227.8,0,2,0,0,False,False,True,False
CUST_4,1,0,11,0,84.89,933.79,2,124.0,2,3,1,0,False,False,True,False
CUST_5,1,1,4,0,82.63,330.52,2,425.4,0,1,0,0,False,False,False,False
CUST_6,0,0,20,0,73.43,1468.6,1,95.3,1,1,1,0,True,False,False,False
CUST_7,1,0,19,1,38.71,735.49,3,285.4,2,2,0,0,True,False,True,False
CUST_8,1,0,25,0,39.18,979.5,3,210.7,2,0,0,0,True,False,False,False
CUST_9,1,0,65,0,68.78,4470.7,1,439.4,1,1,1,0,False,True,False,False
CUST_10,0,0,21,1,46.47,975.87,0,484.5,2,2,0,0,True,False,True,False
CUST_11,1,0,34,0,100.48,3416.32,1,129.6,0,1,1,1,True,False,False,False
CUST_12,1,0,12,2,67.46,809.52,1,308.2,1,0,0,0,False,False,False,False
CUST_13,1,0,40,1,44.88,1795.2,3,327.0,1,4,0,0,False,True,False,True
CUST_14,1,0,5,2,94.96,474.8,3,271.2,2,0,1,1,False,False,False,False
CUST_15,0,0,28,0,22.23,622.44,1,235.9,0,1,0,0,True,False,False,False
CUST_16,1,0,22,2,66.7,1467.4,0,456.4,0,1,0,0,True,False,False,False
CUST_17,0,0,45,1,83.9,3775.5,2,247.7,0,2,0,0,False,True,True,False
CUST_18,0,0,27,1,44.28,1195.56,1,498.3,2,2,0,0,True,False,True,False
CUST_19,0,0,16,2,59.19,947.04,1,233.8,1,2,0,0,True,False,True,False
CUST_20,1,1,40,1,53.14,2125.6,2,377.2,1,1,0,0,False,True,False,False
CUST_21,0,0,27,2,41.89,1131.03,3,383.5,2,2,0,0,True,False,True,False
CUST_22,1,0,8,0,71.91,575.28,0,233.7,0,1,1,0,False,False,False,False
CUST_23,0,1,17,1,91.28,1551.76,3,122.2,2,2,0,1,True,False,True,False
CUST_24,0,0,7,0,120.09,840.63,2,214.1,2,2,1,1,False,False,True,False
CUST_25,0,1,25,0,89.05,2226.25,2,182.1,2,2,1,0,True,False,True,False
CUST_26,0,0,27,1,63.27,1708.29,2,382.4,2,1,0,0,True,False,False,False
CUST_27,0,0,58,2,97.87,5676.46,2,262.1,0,0,0,1,False,True,False,False
CUST_28,0,0,17,1,41.77,710.09,0,437.4,0,2,1,0,True,False,True,False
CUST_29,0,0,14,1,56.59,792.26,1,357.3,1,0,0,0,True,False,False,False
CUST_30,0,0,4,1,93.82,375.28,1,280.8,0,4,1,1,False,False,False,True
CUST_31,1,0,17,0,53.55,910.35,2,308.4,2,4,0,0,True,False,False,True
CUST_32,1,0,15,0,71.44,1071.6,0,167.3,0,2,0,0,True,False,True,False
CUST_33,0,0,21,0,52.47,1101.87,2,280.6,2,1,0,0,True,False,False,False
CUST_34,0,0,15,0,64.61,969.15,0,314.4,2,1,0,0,True,False,False,False
CUST_35,0,0,15,1,68.27,1024.05,1,261.6,2,3,0,0,True,False,True,False
CUST_36,1,0,21,2,81.78,1717.38,0,243.7,0,1,0,0,True,False,False,False
CUST_37,0,0,18,0,74.14,1334.52,1,400.6,1,2,0,0,True,False,True,False
