customer_id,gender,senior_citizen,tenure_months,contract_type,monthly_charges,total_charges,payment_method,avg_monthly_usage,usage_trend,support_tickets_last_3m,churn
CUST_1,Male,0,58,Month-to-Month,40.63,2356.54,Credit Card,335.3,Stable,1,0
CUST_2,Female,0,19,Month-to-Month,88.05,1672.95,Credit Card,271.9,Stable,2,0
CUST_3,Male,1,12,Month-to-Month,44.73,536.76,Debit Card,227.8,Decreasing,2,0
CUST_4,Male,0,11,Month-to-Month,84.89,933.79,Net Banking,124.0,Stable,3,1
CUST_5,Male,1,4,Month-to-Month,82.63,330.52,Net Banking,425.4,Decreasing,1,0
CUST_6,Female,0,20,Month-to-Month,73.43,1468.6,Debit Card,95.3,Increasing,1,1
CUST_7,Male,0,19,One Year,38.71,735.49,UPI,285.4,Stable,2,0
CUST_8,Male,0,25,Month-to-Month,39.18,979.5,UPI,210.7,Stable,0,0
CUST_9,Male,0,65,Month-to-Month,68.78,4470.7,Debit Card,439.4,Increasing,1,1
CUST_10,Female,0,21,One Year,46.47,975.87,Credit Card,484.5,Stable,2,0
CUST_11,Male,0,34,Month-to-Month,100.48,3416.32,Debit Card,129.6,Decreasing,1,1
CUST_12,Male,0,12,Two Year,67.46,809.52,Debit Card,308.2,Increasing,0,0
CUST_13,Male,0,40,One Year,44.88,1795.2,UPI,327.0,Increasing,4,0
CUST_14,Male,0,5,Two Year,94.96,474.8,UPI,271.2,Stable,0,1
CUST_15,Female,0,28,Month-to-Month,22.23,622.44,Debit Card,235.9,Decreasing,1,0
CUST_16,Male,0,22,Two Year,66.7,1467.4,Credit Card,456.4,Decreasing,1,0
CUST_17,Female,0,45,One Year,83.9,3775.5,Net Banking,247.7,Decreasing,2,0
CUST_18,Female,0,27,One Year,44.28,1195.56,Debit Card,498.3,Stable,2,0
CUST_19,Female,0,16,Two Year,59.19,947.04,Debit Card,233.8,Increasing,2,0
CUST_20,Male,1,40,One Year,53.14,2125.6,Net Banking,377.2,Increasing,1,0
CUST_21,Female,0,27,Two Year,41.89,1131.03,UPI,383.5,Stable,2,0
CUST_22,Male,0,8,Month-to-Month,71.91,575.28,Credit Card,233.7,Decreasing,1,1
CUST_23,Female,1,17,One Year,91.28,1551.76,UPI,122.2,Stable,2,0
CUST_24,Female,0,7,Month-to-Month,120.09,840.63,Net Banking,214.1,Stable,2,1
CUST_25,Female,1,25,Month-to-Month,89.05,2226.25,Net Banking,182.1,Stable,2,1
CUST_26,Female,0,27,One Year,63.27,1708.29,Net Banking,382.4,Stable,1,0
CUST_27,Female,0,58,Two Year,97.87,5676.46,Net Banking,262.1,Decreasing,0,0
CUST_28,Female,0,17,One Year,41.77,710.09,Credit Card,437.4,Decreasing,2,1
CUST_29,Female,0,14,One Year,56.59,792.26,Debit Card,357.3,Increasing,0,0
CUST_30,Female,0,4,One Year,93.82,375.28,Debit Card,280.8,Decreasing,4,1
CUST_31,Male,0,17,Month-to-Month,53.55,910.35,Net Banking,308.4,Stable,4,0
CUST_32,Male,0,15,Month-to-Month,71.44,1071.6,Credit Card,167.3,Decreasing,2,0
CUST_33,Female,0,21,Month-to-Month,52.47,1101.87,Net Banking,280.6,Stable,1,0
CUST_34,Female,0,15,Month-to-Month,64.61,969.15,Credit Card,314.4,Stable,1,0
CUST_35,Female,0,15,One Year,68.27,1024.05,Debit Card,261.6,Stable,3,0
CUST_36,Male,0,21,Two Year,81.78,1717.38,Credit Card,243.7,Decreasing,1,0
CUST_37,Female,0,18,Month-to-Month,74.14,1334.52,Debit Card,400.6,Increasing,2,0
CUST_38,Male,1,15,Month-to-Month,87.87,1318.05,Credit Card,205.7,Stable,1,0
CUST_39,Male,0,14,Month-to-Month,79.8,1117.2,UPI,358.5,Stable,0,0
CUST_40,Male,1,70,Month-to-Month,65.0,4550.0,Credit Card,410.0,Decreasing,3,0
CUST_41,Male,0,14,Month-to-Month,54.77,766.78,Net Banking,349.5,Increasing,0,0
CUST_42,Male,0,16,Month-to-Month,47.14,754.24,UPI,179.6,Stable,0,0
CUST_43,Female,0,3,Month-to-Month,20.0,60.0,UPI,311.4,Stable,1,0
CUST_44,Female,0,40,Two Year,67.12,2684.8,UPI,389.3,Stable,0,0
CUST_45,Female,0,1,Month-to-Month,41.42,41.42,UPI,271.1,Increasing,1,0
CUST_46,Female,0,8,One Year,48.1,384.8,UPI,214.6,Stable,3,0
CUST_47,Female,0,29,One Year,62.49,1812.21,UPI,211.2,Increasing,1,0
CUST_48,Male,0,3,Month-to-Month,56.97,170.91,UPI,332.2,Decreasing,1,0
CUST_49,Female,0,11,Two Year,83.69,920.59,Credit Card,266.8,Increasing,0,0
CUST_50,Female,0,19,One Year,65.83,1250.77,Net Banking,238.2,Decreasing,1,0
CUST_51,Male,0,17,Month-to-Month,110.67,1881.39,Credit Card,90.1,Stable,1,0
CUST_52,Female,0,10,Month-to-Month,124.85,1248.5,UPI,480.3,Increasing,0,1
CUST_53,Male,0,34,One Year,62.35,2119.9,UPI,268.6,Increasing,1,0
CUST_54,Female,0,36,Month-to-Month,48.83,1757.88,UPI,381.4,Stable,0,0
CUST_55,Male,0,30,Month-to-Month,25.92,777.6,Credit Card,433.8,Stable,2,0
CUST_56,Female,0,13,Month-to-Month,115.7,1504.1,Net Banking,600.0,Stable,1,1
CUST_57,Female,0,22,Month-to-Month,51.9,1141.8,Net Banking,368.2,Increasing,1,1
CUST_58,Male,0,11,One Year,56.49,621.39,Credit Card,333.5,Stable,1,0
CUST_59,Male,0,72,Two Year,52.51,3780.72,Debit Card,145.0,Stable,2,0
CUST_60,Male,0,25,One Year,61.83,1545.75,Debit Card,97.3,Decreasing,0,0
CUST_61,Male,1,13,Month-to-Month,58.08,755.04,Net Banking,61.3,Stable,3,0
CUST_62,Male,1,72,Two Year,90.67,6528.24,Debit Card,283.1,Stable,0,0
CUST_63,Male,0,14,One Year,20.0,280.0,Credit Card,200.2,Stable,2,0
CUST_64,Male,0,24,One Year,65.31,1567.44,Net Banking,251.4,Decreasing,1,0
CUST_65,Male,0,34,Month-to-Month,87.95,2990.3,Net Banking,443.7,Increasing,1,1
CUST_66,Female,0,12,Month-to-Month,52.74,632.88,Credit Card,351.7,Decreasing,3,0
CUST_67,Female,0,11,Two Year,84.71,931.81,Credit Card,298.6,Stable,3,0
CUST_68,Male,0,39,Month-to-Month,72.24,2817.36,Credit Card,319.6,Increasing,1,0
CUST_69,Female,1,34,One Year,52.06,1770.04,UPI,230.3,Decreasing,2,0
CUST_70,Female,0,34,One Year,24.69,839.46,Debit Card,252.1,Decreasing,1,0
CUST_71,Female,0,27,Month-to-Month,80.16,2164.32,Debit Card,161.7,Decreasing,0,0
CUST_72,Female,0,70,One Year,77.96,5457.2,Net Banking,377.7,Stable,3,0
CUST_73,Male,0,20,Month-to-Month,51.48,1029.6,Debit Card,477.1,Decreasing,2,1
CUST_74,Female,0,9,One Year,89.0,801.0,Net Banking,436.2,Increasing,1,0
CUST_75,Male,1,6,Two Year,57.87,347.22,Net Banking,302.5,Stable,1,0
CUST_76,Female,0,14,Two Year,95.86,1342.04,UPI,395.7,Increasing,0,0
