customer_id,gender,senior_citizen,tenure_months,contract_type,monthly_charges,total_charges,payment_method,avg_monthly_usage,usage_trend,support_tickets_last_3m,churn,high_value_customer,tenure_bucket_Mid,tenure_bucket_Long,support_intensity_Medium,support_intensity_High,churn_probability,risk_segment,revenue_at_risk
CUST_1,1,0,58,0,40.63,2356.54,0,335.3,2,1,0,0,False,True,False,False,0.24,Low,9.75
CUST_2,0,0,19,0,88.05,1672.95,0,271.9,2,2,0,0,True,False,True,False,0.2,Low,17.61
CUST_3,1,1,12,0,44.73,536.76,1,227.8,0,2,0,0,False,False,True,False,0.69,High,30.86
CUST_4,1,0,11,0,84.89,933.79,2,124.0,2,3,1,0,False,False,True,False,0.53,Medium,44.99
CUST_5,1,1,4,0,82.63,330.52,2,425.4,0,1,0,0,False,False,False,False,0.69,High,57.01
CUST_6,0,0,20,0,73.43,1468.6,1,95.3,1,1,1,0,True,False,False,False,0.27,Low,19.83
CUST_7,1,0,19,1,38.71,735.49,3,285.4,2,2,0,0,True,False,True,False,0.11,Low,4.26
CUST_8,1,0,25,0,39.18,979.5,3,210.7,2,0,0,0,True,False,False,False,0.19,Low,7.44
CUST_9,1,0,65,0,68.78,4470.7,1,439.4,1,1,1,0,False,True,False,False,0.28,Low,19.26
CUST_10,0,0,21,1,46.47,975.87,0,484.5,2,2,0,0,True,False,True,False,0.11,Low,5.11
CUST_11,1,0,34,0,100.48,3416.32,1,129.6,0,1,1,1,True,False,False,False,0.58,Medium,58.28
CUST_12,1,0,12,2,67.46,809.52,1,308.2,1,0,0,0,False,False,False,False,0.21,Low,14.17
CUST_13,1,0,40,1,44.88,1795.2,3,327.0,1,4,0,0,False,True,False,True,0.24,Low,10.77
CUST_14,1,0,5,2,94.96,474.8,3,271.2,2,0,1,1,False,False,False,False,0.31,Medium,29.44
CUST_15,0,0,28,0,22.23,622.44,1,235.9,0,1,0,0,True,False,False,False,0.39,Medium,8.67
CUST_16,1,0,22,2,66.7,1467.4,0,456.4,0,1,0,0,True,False,False,False,0.11,Low,7.34
CUST_17,0,0,45,1,83.9,3775.5,2,247.7,0,2,0,0,False,True,True,False,0.19,Low,15.94
CUST_18,0,0,27,1,44.28,1195.56,1,498.3,2,2,0,0,True,False,True,False,0.11,Low,4.87
CUST_19,0,0,16,2,59.19,947.04,1,233.8,1,2,0,0,True,False,True,False,0.07,Low,4.14
CUST_20,1,1,40,1,53.14,2125.6,2,377.2,1,1,0,0,False,True,False,False,0.15,Low,7.97
CUST_21,0,0,27,2,41.89,1131.03,3,383.5,2,2,0,0,True,False,True,False,0.05,Low,2.09
CUST_22,1,0,8,0,71.91,575.28,0,233.7,0,1,1,0,False,False,False,False,0.7,High,50.34
CUST_23,0,1,17,1,91.28,1551.76,3,122.2,2,2,0,1,True,False,True,False,0.22,Low,20.08
CUST_24,0,0,7,0,120.09,840.63,2,214.1,2,2,1,1,False,False,True,False,0.72,High,86.46
CUST_25,0,1,25,0,89.05,2226.25,2,182.1,2,2,1,0,True,False,True,False,0.19,Low,16.92
CUST_26,0,0,27,1,63.27,1708.29,2,382.4,2,1,0,0,True,False,False,False,0.11,Low,6.96
CUST_27,0,0,58,2,97.87,5676.46,2,262.1,0,0,0,1,False,True,False,False,0.18,Low,17.62
CUST_28,0,0,17,1,41.77,710.09,0,437.4,0,2,1,0,True,False,True,False,0.21,Low,8.77
CUST_29,0,0,14,1,56.59,792.26,1,357.3,1,0,0,0,True,False,False,False,0.13,Low,7.36
CUST_30,0,0,4,1,93.82,375.28,1,280.8,0,4,1,1,False,False,False,True,0.82,High,76.93
CUST_31,1,0,17,0,53.55,910.35,2,308.4,2,4,0,0,True,False,False,True,0.32,Medium,17.14
CUST_32,1,0,15,0,71.44,1071.6,0,167.3,0,2,0,0,True,False,True,False,0.36,Medium,25.72
CUST_33,0,0,21,0,52.47,1101.87,2,280.6,2,1,0,0,True,False,False,False,0.21,Low,11.02
CUST_34,0,0,15,0,64.61,969.15,0,314.4,2,1,0,0,True,False,False,False,0.21,Low,13.57
CUST_35,0,0,15,1,68.27,1024.05,1,261.6,2,3,0,0,True,False,True,False,0.12,Low,8.19
CUST_36,1,0,21,2,81.78,1717.38,0,243.7,0,1,0,0,True,False,False,False,0.1,Low,8.18
CUST_37,0,0,18,0,74.14,1334.52,1,400.6,1,2,0,0,True,False,True,False,0.28,Low,20.76
CUST_38,1,1,15,0,87.87,1318.05,0,205.7,2,1,0,0,True,False,False,False,0.2,Low,17.57
CUST_39,1,0,14,0,79.8,1117.2,3,358.5,2,0,0,0,True,False,False,False,0.18,Low,14.36
CUST_40,1,1,70,0,65.0,4550.0,0,410.0,0,3,0,0,False,True,True,False,0.41,Medium,26.65
CUST_41,1,0,14,0,54.77,766.78,2,349.5,1,0,0,0,True,False,False,False,0.25,Low,13.69
CUST_42,1,0,16,0,47.14,754.24,3,179.6,2,0,0,0,True,False,False,False,0.18,Low,8.49
CUST_43,0,0,3,0,20.0,60.0,3,311.4,2,1,0,0,False,False,False,False,0.51,Medium,10.2
CUST_44,0,0,40,2,67.12,2684.8,3,389.3,2,0,0,0,False,True,False,False,0.04,Low,2.68
CUST_45,0,0,1,0,41.42,41.42,3,271.1,1,1,0,0,False,False,False,False,0.6,Medium,24.85
CUST_46,0,0,8,1,48.1,384.8,3,214.6,2,3,0,0,False,False,True,False,0.35,Medium,16.84
CUST_47,0,0,29,1,62.49,1812.21,3,211.2,1,1,0,0,True,False,False,False,0.14,Low,8.75
CUST_48,1,0,3,0,56.97,170.91,3,332.2,0,1,0,0,False,False,False,False,0.69,High,39.31
CUST_49,0,0,11,2,83.69,920.59,0,266.8,1,0,0,0,False,False,False,False,0.21,Low,17.57
CUST_50,0,0,19,1,65.83,1250.77,2,238.2,0,1,0,0,True,False,False,False,0.2,Low,13.17
CUST_51,1,0,17,0,110.67,1881.39,0,90.1,2,1,0,1,True,False,False,False,0.4,Medium,44.27
CUST_52,0,0,10,0,124.85,1248.5,3,480.3,1,0,1,1,False,False,False,False,0.76,High,94.89
CUST_53,1,0,34,1,62.35,2119.9,3,268.6,1,1,0,0,True,False,False,False,0.15,Low,9.35
CUST_54,0,0,36,0,48.83,1757.88,3,381.4,2,0,0,0,True,False,False,False,0.19,Low,9.28
CUST_55,1,0,30,0,25.92,777.6,0,433.8,2,2,0,0,True,False,True,False,0.24,Low,6.22
CUST_56,0,0,13,0,115.7,1504.1,2,600.0,2,1,1,1,True,False,False,False,0.4,Medium,46.28
CUST_57,0,0,22,0,51.9,1141.8,2,368.2,1,1,1,0,True,False,False,False,0.29,Low,15.05
CUST_58,1,0,11,1,56.49,621.39,0,333.5,2,1,0,0,False,False,False,False,0.33,Medium,18.64
CUST_59,1,0,72,2,52.51,3780.72,1,145.0,2,2,0,0,False,True,True,False,0.05,Low,2.63
CUST_60,1,0,25,1,61.83,1545.75,1,97.3,0,0,0,0,True,False,False,False,0.18,Low,11.13
CUST_61,1,1,13,0,58.08,755.04,2,61.3,2,3,0,0,True,False,True,False,0.23,Low,13.36
CUST_62,1,1,72,2,90.67,6528.24,1,283.1,2,0,0,1,False,True,False,False,0.09,Low,8.16
CUST_63,1,0,14,1,20.0,280.0,0,200.2,2,2,0,0,True,False,True,False,0.11,Low,2.2
CUST_64,1,0,24,1,65.31,1567.44,2,251.4,0,1,0,0,True,False,False,False,0.2,Low,13.06
CUST_65,1,0,34,0,87.95,2990.3,2,443.7,1,1,1,0,True,False,False,False,0.27,Low,23.75
CUST_66,0,0,12,0,52.74,632.88,0,351.7,0,3,0,0,False,False,True,False,0.73,High,38.5
CUST_67,0,0,11,2,84.71,931.81,0,298.6,2,3,0,0,False,False,True,False,0.19,Low,16.09
CUST_68,1,0,39,0,72.24,2817.36,0,319.6,1,1,0,0,False,True,False,False,0.28,Low,20.23
CUST_69,0,1,34,1,52.06,1770.04,3,230.3,0,2,0,0,True,False,True,False,0.2,Low,10.41
CUST_70,0,0,34,1,24.69,839.46,1,252.1,0,1,0,0,True,False,False,False,0.23,Low,5.68
CUST_71,0,0,27,0,80.16,2164.32,1,161.7,0,0,0,0,True,False,False,False,0.32,Medium,25.65
CUST_72,0,0,70,1,77.96,5457.2,2,377.7,2,3,0,0,False,True,True,False,0.11,Low,8.58
CUST_73,1,0,20,0,51.48,1029.6,1,477.1,0,2,1,0,True,False,True,False,0.37,Medium,19.05
CUST_74,0,0,9,1,89.0,801.0,2,436.2,1,1,0,0,False,False,False,False,0.4,Medium,35.6
CUST_75,1,1,6,2,57.87,347.22,2,302.5,2,1,0,0,False,False,False,False,0.17,Low,9.84
CUST_76,0,0,14,2,95.86,1342.04,3,395.7,1,0,0,1,True,False,False,False,0.14,Low,13.42
CUST_77,0,0,1,2,77.58,77.58,2,354.4,2,1,0,0,False,False,False,False,0.17,Low,13.19
CUST_78,0,0,50,0,107.0,5350.0,3,317.3,1,0,0,1,False,True,False,False,0.42,Medium,44.94
CUST_79,1,0,26,1,79.08,2056.08,1,335.2,2,0,0,0,True,False,False,False,0.09,Low,7.12
CUST_80,0,0,9,1,70.7,636.3,3,168.2,1,1,1,0,False,False,False,False,0.39,Medium,27.57
CUST_81,1,0,41,0,22.89,938.49,0,252.0,2,0,1,0,False,True,False,False,0.22,Low,5.04
CUST_82,0,0,6,0,71.34,428.04,3,231.8,1,2,1,0,False,False,True,False,0.59,Medium,42.09
CUST_83,1,0,8,1,64.02,512.16,2,148.8,1,0,1,0,False,False,False,False,0.36,Medium,23.05
CUST_84,0,0,21,0,110.38,2317.98,1,357.7,2,3,0,1,True,False,True,False,0.43,Medium,47.46
CUST_85,1,0,54,2,75.34,4068.36,2,370.2,2,1,0,0,False,True,False,False,0.05,Low,3.77
CUST_86,1,0,26,0,89.56,2328.56,1,50.0,2,0,0,0,True,False,False,False,0.17,Low,15.23
CUST_87,0,0,8,0,105.1,840.8,2,298.5,2,3,1,1,False,False,True,False,0.75,High,78.82
CUST_88,1,0,9,0,103.49,931.41,3,266.1,0,0,1,1,False,False,False,False,0.83,High,85.9
CUST_89,0,0,23,2,67.82,1559.86,2,237.6,1,2,0,0,True,False,True,False,0.07,Low,4.75
CUST_90,0,0,5,2,123.22,616.1,0,135.2,2,1,1,1,False,False,False,False,0.35,Medium,43.13
CUST_91,0,0,5,0,57.35,286.75,0,306.1,2,0,0,0,False,False,False,False,0.48,Medium,27.53
CUST_92,0,0,15,1,103.26,1548.9,1,301.9,2,1,0,1,True,False,False,False,0.23,Low,23.75
CUST_93,0,0,31,1,51.34,1591.54,1,262.3,2,4,0,0,True,False,False,True,0.18,Low,9.24
CUST_94,0,0,33,1,91.5,3019.5,3,380.9,2,0,0,1,True,False,False,False,0.2,Low,18.3
CUST_95,0,0,21,1,45.9,963.9,2,376.5,0,2,1,0,True,False,True,False,0.21,Low,9.64
CUST_96,0,0,37,0,85.47,3162.39,0,113.7,2,2,0,0,False,True,True,False,0.2,Low,17.09
CUST_97,0,0,59,0,48.65,2870.35,3,376.3,0,1,0,0,False,True,False,False,0.38,Medium,18.49
CUST_98,0,0,12,0,44.08,528.96,1,204.4,2,1,0,0,False,False,False,False,0.52,Medium,22.92
CUST_99,0,0,4,0,45.84,183.36,3,272.7,0,0,1,0,False,False,False,False,0.65,High,29.8
CUST_100,1,0,14,0,82.45,1154.3,1,464.8,0,1,0,0,True,False,False,False,0.36,Medium,29.68
CUST_101,1,0,8,0,82.36,658.88,1,295.7,2,1,1,0,False,False,False,False,0.51,Medium,42.0
CUST_102,0,0,27,1,82.25,2220.75,3,402.8,0,1,1,0,True,False,False,False,0.19,Low,15.63
CUST_103,0,0,6,0,75.53,453.18,2,274.6,2,0,0,0,False,False,False,False,0.46,Medium,34.74
CUST_104,0,0,18,1,57.9,1042.2,3,393.6,0,0,0,0,True,False,False,False,0.18,Low,10.42
CUST_105,0,0,8,1,51.96,415.68,1,294.6,1,0,1,0,False,False,False,False,0.37,Medium,19.23
CUST_106,0,0,15,2,44.12,661.8,0,273.1,0,0,0,0,True,False,False,False,0.09,Low,3.97
CUST_107,0,0,19,1,42.63,809.97,2,312.3,0,0,0,0,True,False,False,False,0.18,Low,7.67
CUST_108,0,0,31,2,100.33,3110.23,2,188.1,0,0,0,1,True,False,False,False,0.19,Low,19.06
CUST_109,0,0,19,0,43.53,827.07,0,248.5,2,1,0,0,True,False,False,False,0.22,Low,9.58
CUST_110,1,1,11,1,46.7,513.7,2,361.1,2,0,0,0,False,False,False,False,0.29,Low,13.54
CUST_111,0,1,34,0,45.05,1531.7,1,383.8,2,1,0,0,True,False,False,False,0.22,Low,9.91
CUST_112,1,1,20,1,36.83,736.6,3,208.8,0,0,0,0,True,False,False,False,0.18,Low,6.63
CUST_113,0,0,12,0,77.62,931.44,1,472.3,0,1,1,0,False,False,False,False,0.69,High,53.56
CUST_114,0,0,31,1,56.6,1754.6,2,480.8,2,0,0,0,True,False,False,False,0.09,Low,5.09
CUST_115,1,0,23,0,65.91,1515.93,0,207.5,2,0,1,0,True,False,False,False,0.19,Low,12.52
CUST_116,0,0,29,0,67.09,1945.61,2,254.4,2,1,0,0,True,False,False,False,0.21,Low,14.09
CUST_117,1,0,43,1,77.22,3320.46,1,297.0,2,1,0,0,False,True,False,False,0.1,Low,7.72
CUST_118,0,0,7,2,72.53,507.71,2,421.5,1,2,0,0,False,False,True,False,0.23,Low,16.68
CUST_119,0,0,72,0,99.59,7170.48,2,357.3,1,0,0,1,False,True,False,False,0.42,Medium,41.83
CUST_120,1,0,27,2,53.3,1439.1,1,269.4,1,3,0,0,True,False,True,False,0.09,Low,4.8
CUST_121,0,0,6,0,55.2,331.2,2,173.6,2,0,0,0,False,False,False,False,0.47,Medium,25.94
CUST_122,1,1,47,1,67.78,3185.66,1,104.3,0,1,0,0,False,True,False,False,0.2,Low,13.56
CUST_123,0,0,10,2,68.17,681.7,0,328.6,2,0,0,0,False,False,False,False,0.15,Low,10.23
CUST_124,1,0,60,0,32.93,1975.8,2,482.0,0,1,1,0,False,True,False,False,0.41,Medium,13.5
CUST_125,1,1,7,0,30.58,214.06,0,300.4,0,1,1,0,False,False,False,False,0.7,High,21.41
CUST_126,0,0,18,0,66.48,1196.64,3,341.5,2,2,0,0,True,False,True,False,0.2,Low,13.3
CUST_127,0,0,35,0,104.64,3662.4,2,321.1,2,1,0,1,True,False,False,False,0.38,Medium,39.76
CUST_128,1,0,31,1,107.12,3320.72,3,136.1,2,3,0,1,True,False,True,False,0.24,Low,25.71
CUST_129,0,0,25,1,42.07,1051.75,0,457.1,1,2,0,0,True,False,True,False,0.16,Low,6.73
CUST_130,0,1,40,2,59.24,2369.6,0,221.2,0,0,0,0,False,True,False,False,0.09,Low,5.33
CUST_131,0,0,13,0,74.06,962.78,1,220.0,0,1,0,0,True,False,False,False,0.36,Medium,26.66
CUST_132,1,0,41,0,77.6,3181.6,3,346.6,0,1,1,0,False,True,False,False,0.35,Medium,27.16
CUST_133,1,0,11,0,45.66,502.26,3,228.2,1,0,1,0,False,False,False,False,0.56,Medium,25.57
CUST_134,1,0,56,2,112.56,6303.36,1,169.7,2,0,0,1,False,True,False,False,0.09,Low,10.13
